日期,代码,名称,主力合约,昨收价
2026-09-18,MA0,甲醇,MA2610,3433.0
2026-09-18,M0,豆粕,M2701,3397.0
2026-09-18,OI0,菜油,OI2701,10111.0
2026-09-18,SR0,白糖,SR2701,5322.0
2026-09-18,Y0,豆油,Y2701,8875.0
2026-09-18,EB0,苯乙烯,EB2610,9770.0
2026-09-18,FG0,玻璃,FG2701,907.0
2026-09-18,EG0,乙二醇,EG2610,6007.0
2026-09-18,SP0,纸浆,SP2611,4836.0
2026-09-18,FU0,燃油,FU2611,4200.0
2026-09-18,SA0,纯碱,SA2701,1007.0
2026-09-18,TA0,PTA,TA2701,6238.0
2026-09-18,CF0,棉花,CF2701,15750.0
2026-09-18,RB0,螺纹,RB2701,3096.0
2026-09-18,JD0,鸡蛋,JD2611,3861.0
2026-09-18,BU0,沥青,BU2610,5742.0
2026-09-18,A0,豆一,A2611,4911.0
2026-09-18,V0,PVC,V2701,4703.0
2026-09-18,PP0,聚丙烯,PP2701,8653.0
2026-09-18,RM0,菜粕,RM2611,2330.0
2026-09-18,L0,塑料,L2701,8318.0
2026-09-18,I0,铁矿,I2701,715.5
2026-09-18,SS0,不锈钢,SS2611,13695.0
2026-09-18,C0,玉米,C2611,2185.0
2026-09-18,AO0,氧化铝,AO2701,2695.0
2026-09-18,PX0,PX,PX2611,9160.0
2026-09-18,HC0,热卷,HC2701,3290.0
2026-09-18,AP0,苹果,AP2701,7183.0
2026-09-18,PB0,沪铅,PB2611,16325.0
2026-09-18,SI0,工业硅,SI2611,8410.0
2026-09-18,PF0,短纤,PF2611,8314.0
2026-09-18,CJ0,红枣,CJ2701,7340.0
2026-09-18,UR0,尿素,UR2701,1768.0
2026-09-18,LU0,低硫油,LU2611,5440.0
2026-09-18,CS0,淀粉,CS2611,2441.0
2026-09-18,P0,棕榈,P2701,9855.0
2026-09-18,SN0,沪锡,SN2610,407490.0
2026-09-18,CU0,沪铜,CU2610,109620.0
2026-09-18,AU0,沪金,AU2610,948.52
2026-09-18,AG0,沪银,AG2610,16263.0
2026-09-18,SC0,原油,SC2611,728.0
2026-09-18,J0,焦炭,J2701,1952.5
2026-09-18,JM0,焦煤,JM2701,1487.0
2026-09-18,LH0,生猪,LH2611,11060.0
2026-09-18,LC0,碳酸锂,LC2701,127160.0
2026-09-18,RU0,橡胶,RU2701,18670.0
2026-09-18,NI0,沪镍,NI2610,124090.0
2026-09-18,ZN0,沪锌,ZN2611,26565.0
2026-09-18,AL0,沪铝,AL2611,24400.0
2026-09-18,NR0,20号胶,NR2611,15880.0
2026-09-18,EC0,集运,EC2610,2172.5
2026-09-18,PG0,液化气,PG2610,6726.0
2026-09-18,SF0,硅铁,SF2611,6018.0
2026-09-18,SM0,锰硅,SM2611,5786.0
2026-09-18,BC0,国际铜,BC2610,97870.0
2026-09-18,AD0,铸造铝,AD2611,23775.0
2026-09-18,PS0,多晶硅,PS2611,36490.0
2026-09-18,PT0,铂,PT2612,446.1
2026-09-18,PD0,钯,PD2610,311.2
2026-09-18,B0,豆二,B2611,4070.0
2026-09-18,CY0,棉纱,CY2611,21690.0
2026-09-18,PK0,花生,PK2611,7884.0
2026-09-18,PR0,瓶片,PR2611,8132.0
2026-09-18,PL0,丙烯,PL2611,9092.0
2026-09-18,BZ0,纯苯,BZ2610,8637.0
2026-09-18,SH0,烧碱,SH2611,1883.0
2026-09-18,BR0,丁二烯胶,BR2611,14645.0
2026-09-18,LG0,原木,LG2611,832.0
2026-09-18,OP0,胶版纸,OP2611,3856.0
