"date","name","contcode","maincode","mainoi","mainprice"
"2026-09-18","甲醇","MA0","MA2610","1626127","3453"
"2026-09-18","豆粕","M0","M2701","1682364","3404"
"2026-09-18","菜油","OI0","OI2701","141741","10085"
"2026-09-18","白糖","SR0","SR2701","274674","5315"
"2026-09-18","豆油","Y0","Y2701","263642","8876"
"2026-09-18","苯乙烯","EB0","EB2610","619405","9735"
"2026-09-18","玻璃","FG0","FG2701","881977","912"
"2026-09-18","乙二醇","EG0","EG2610","1687340","6001"
"2026-09-18","纸浆","SP0","SP2611","274586","4796"
"2026-09-18","燃油","FU0","FU2611","621100","4264"
"2026-09-18","纯碱","SA0","SA2701","839480","1011"
"2026-09-18","PTA","TA0","TA2701","1046375","6266"
"2026-09-18","棉花","CF0","CF2701","219881","15770"
"2026-09-18","螺纹","RB0","RB2701","735507","3099"
"2026-09-18","鸡蛋","JD0","JD2611","150665","3790"
"2026-09-18","沥青","BU0","BU2610","642048","5823"
"2026-09-18","豆一","A0","A2611","193061","4933"
"2026-09-18","PVC","V0","V2701","1279497","4695"
"2026-09-18","聚丙烯","PP0","PP2701","591572","8698"
"2026-09-18","菜粕","RM0","RM2611","654525","2343"
"2026-09-18","塑料","L0","L2701","474916","8363"
"2026-09-18","铁矿","I0","I2701","260380","716"
"2026-09-18","不锈钢","SS0","SS2611","132103","13700"
"2026-09-18","玉米","C0","C2611","454460","2181"
"2026-09-18","氧化铝","AO0","AO2701","109765","2693"
"2026-09-18","PX","PX0","PX2611","353376","9218"
"2026-09-18","热卷","HC0","HC2701","348627","3298"
"2026-09-18","苹果","AP0","AP2701","86869","7258"
"2026-09-18","沪铅","PB0","PB2611","79239","16310"
"2026-09-18","工业硅","SI0","SI2611","77224","8430"
"2026-09-18","短纤","PF0","PF2611","213235","8352"
"2026-09-18","红枣","CJ0","CJ2701","162857","7300"
"2026-09-18","尿素","UR0","UR2701","100827","1760"
"2026-09-18","低硫油","LU0","LU2611","113663","5508"
"2026-09-18","淀粉","CS0","CS2611","108554","2440"
"2026-09-18","棕榈","P0","P2701","394657","9905"
"2026-09-18","沪锡","SN0","SN2610","68452","404020"
"2026-09-18","沪铜","CU0","CU2610","64356","109500"
"2026-09-18","沪金","AU0","AU2610","189820","937.66"
"2026-09-18","沪银","AG0","AG2610","287717","16017"
"2026-09-18","原油","SC0","SC2611","229513","738.4"
"2026-09-18","焦炭","J0","J2701","45091","1964.5"
"2026-09-18","焦煤","JM0","JM2701","885737","1505.5"
"2026-09-18","生猪","LH0","LH2611","102162","11050"
"2026-09-18","碳酸锂","LC0","LC2701","143951","126680"
"2026-09-18","橡胶","RU0","RU2701","220934","18650"
"2026-09-18","沪镍","NI0","NI2610","87145","123640"
"2026-09-18","沪锌","ZN0","ZN2611","105746","26550"
"2026-09-18","沪铝","AL0","AL2611","139835","24365"
"2026-09-18","20号胶","NR0","NR2611","49619","15885"
"2026-09-18","集运","EC0","EC2610","12249","2184"
"2026-09-18","液化气","PG0","PG2610","68061","6788"
"2026-09-18","硅铁","SF0","SF2611","334680","5990"
"2026-09-18","锰硅","SM0","SM2611","134443","5782"
"2026-09-18","国际铜","BC0","BC2610","3868","97800"
"2026-09-18","铸造铝","AD0","AD2611","7692","23685"
"2026-09-18","多晶硅","PS0","PS2611","39582","36475"
"2026-09-18","铂","PT0","PT2612","2561","438.6"
"2026-09-18","钯","PD0","PD2610","2691","305.25"
"2026-09-18","豆二","B0","B2611","244569","4083"
"2026-09-18","棉纱","CY0","CY2611","9563","21735"
"2026-09-18","花生","PK0","PK2611","80446","7900"
"2026-09-18","瓶片","PR0","PR2611","81371","8182"
"2026-09-18","丙烯","PL0","PL2611","44151","9147"
"2026-09-18","纯苯","BZ0","BZ2610","66299","8605"
"2026-09-18","烧碱","SH0","SH2611","186948","1886"
"2026-09-18","丁二烯胶","BR0","BR2611","104367","14585"
"2026-09-18","原木","LG0","LG2611","1633","832"
"2026-09-18","胶版纸","OP0","OP2611","6023","3816"
