时间,品种,方向,入场,止损,目标,风险元,链均,时段
2026-09-22 21:55:54,螺纹,多,3119,3109.785714285714,3132.8214285714284,92,0.02933782456542855,night
2026-09-22 21:55:54,热卷,多,3311,3301.285714285714,3325.5714285714284,97,0.02933782456542855,night
2026-09-22 22:15:54,豆粕,多,3424,3406.9285714285716,3449.6071428571427,171,0.011071979372470064,night
2026-09-23 09:45:54,螺纹,空,3117,3126.714285714286,3102.4285714285716,97,-0.0489625813875183,day
2026-09-23 09:45:54,热卷,空,3307,3316.3571428571427,3292.964285714286,94,-0.0489625813875183,day
2026-09-23 10:50:54,螺纹,空,3117,3126.6428571428573,3102.535714285714,96,-0.125460862053417,day
2026-09-23 10:55:54,螺纹,空,3115,3124.6428571428573,3100.535714285714,96,-0.1717202555103603,day
2026-09-23 11:01:00,螺纹,空,3114,3123.714285714286,3099.4285714285716,97,-0.18683969911483245,day
2026-09-23 14:10:54,豆粕,空,3414,3430.0714285714284,3389.8928571428573,161,-0.3305469412044715,day
2026-09-23 14:15:54,豆粕,空,3413,3429.0714285714284,3388.8928571428573,161,-0.39800080784104797,day
2026-09-23 22:05:54,豆粕,空,3388,3404.5,3363.25,165,-0.2621533122784925,night
2026-09-23 22:10:54,豆粕,空,3387,3403.5714285714284,3362.1428571428573,166,-0.277343881077321,night
2026-09-24 09:40:54,豆粕,多,3406,3389.714285714286,3430.4285714285716,163,0.06321022227136597,day
2026-09-24 09:45:54,豆粕,多,3406,3389.714285714286,3430.4285714285716,163,0.07690151668108935,day
